param_n_factors,param_n_epochs,param_lr_all,param_reg_all,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_test_mae,std_test_mae,mean_fit_time
100,40,0.02,0.1,0.9340403847869873,0.000588245774852956,51,0.7385467007612969,0.0006109373280202753,1.069891134897868
100,80,0.015,0.1,0.9341879696907268,0.0004831524993947816,52,0.7386020053695955,0.0004752337637965947,2.728445053100586
100,60,0.02,0.1,0.9348789025204951,0.0004855409739292517,53,0.7391613785424309,0.0005394226663610977,1.8700868288675945
100,80,0.02,0.1,0.9352996747975123,0.00039264613758859316,54,0.7394314126845559,0.0005444091496143856,2.6932457288106284
200,80,0.015,0.2,0.9367223465335298,0.0004088992191106061,55,0.7443537431393246,0.001095938600460852,4.674757321675618
150,80,0.015,0.2,0.9368534057395964,0.0003246967570527416,56,0.7444404907617468,0.0010399062219997887,3.4084068139394126
200,80,0.01,0.2,0.9368820104090917,0.0003356473943840275,57,0.7446381713969169,0.0010292073172503509,5.723272879918416
100,80,0.015,0.2,0.9370039887940734,0.0002629423089405689,58,0.7445458953410867,0.0009835717591152517,2.4160818258921304
150,80,0.01,0.2,0.9370543548354698,0.00017655271554975079,59,0.7447320463407365,0.0009305384184961781,3.929675261179606
100,80,0.01,0.2,0.9373343542280761,0.000211710718838051,60,0.7449482034038025,0.0008686862315771617,2.508030652999878
200,60,0.015,0.2,0.9373590214868824,0.00036870823031315227,61,0.745003717435512,0.0011250175410256438,4.883905092875163
150,60,0.015,0.2,0.937532716289966,0.00031119863779855306,62,0.7451081545412247,0.0010575876493699426,2.8495825926462808
200,80,0.02,0.2,0.9376281207109708,0.0005364034651344161,63,0.7449831584157777,0.0012171743943576205,4.347409248352051
150,80,0.02,0.2,0.9377375789703845,0.0004891144406291579,64,0.7450497775424966,0.001181090058638088,4.076799392700195
100,60,0.015,0.2,0.9377771178546079,0.0001669576929198394,65,0.7452819712107313,0.0009887941556921357,1.8924284776051838
100,80,0.02,0.2,0.9378072924133637,0.00040403047285805793,66,0.7450906296056905,0.0011444863253176505,2.550406058629354
200,60,0.02,0.2,0.9378472357529289,0.0004986836663527737,67,0.7452665901318923,0.0012276887949739265,4.278909921646118
150,60,0.02,0.2,0.9379938559275466,0.00047774131787437234,68,0.7453581132824065,0.0011955782251396102,2.8276583353678384
100,60,0.02,0.2,0.9381419313097455,0.00032340066291231147,69,0.7454551469922372,0.0011346906971828814,1.9445687135060628
200,60,0.01,0.2,0.9386885726634296,0.00033842187094441163,70,0.7462315251612525,0.0011229305701778128,5.775092840194702
150,60,0.01,0.2,0.9389486789284218,0.00019088126706866187,71,0.7464050112896562,0.0009909449619185287,2.892946640650431
200,40,0.02,0.2,0.9389638236764449,0.00048356833479534436,72,0.7463704875695393,0.0012856965343398812,3.24456787109375
150,40,0.02,0.2,0.9391883155479898,0.000499469732712397,73,0.746509692640387,0.001236221676043847,1.719177007675171
100,60,0.01,0.2,0.9393669082935605,0.00013167736768967755,74,0.7467307943845806,0.0009347488579488638,1.6797289848327637
100,40,0.02,0.2,0.9394883724164549,0.00028815040309639923,75,0.7467162230288382,0.0011609548062865543,1.0688976446787517
200,40,0.015,0.2,0.9396417397281166,0.00039826855344003546,76,0.7470445928369576,0.0012404537510592264,2.5574143727620444
150,40,0.015,0.2,0.939939860969516,0.0003506417345748078,77,0.747252635808379,0.001122767423668749,1.7104984124501545
100,40,0.015,0.2,0.940381731285049,0.0001511144405397119,78,0.7475896204364769,0.0010586165840865368,1.059907595316569
200,40,0.01,0.2,0.9428787118769494,0.0003816716561499495,79,0.7498425342450633,0.0011904792625530229,2.415126005808512
150,40,0.01,0.2,0.9433223752641341,0.00023054794485563167,80,0.7501587087620599,0.0010491841444311705,1.9344310760498047
100,40,0.01,0.2,0.9439738310016962,0.00012288631686312979,81,0.7506765678104516,0.0009653683810591362,1.011415958404541
