param_n_factors,param_n_epochs,param_lr_all,param_reg_all,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_test_mae,std_test_mae,mean_fit_time
100,40,0.002,0.1,0.9504748914005078,0.0003418003326649867,26,0.7543420467088074,0.0007163935150472844,1.085282325744629
100,40,0.002,0.05,0.9509128669142947,0.0002025904821539625,27,0.75319160490602,0.0010633210563396442,1.0370928446451824
150,40,0.002,0.1,0.9511348551976649,0.00023041785463089772,28,0.755002467450498,0.0009423204782159707,1.570934534072876
50,40,0.002,0.02,0.9512052613107107,0.00024104251837160133,29,0.7519585782065336,0.0010029865062265088,0.5743058522542318
100,40,0.01,0.05,0.9524870089785867,0.0012061424588849156,30,0.7513826945022851,0.0006885518408910594,1.0822181701660156
150,40,0.002,0.05,0.9527245038536486,0.0006305446243742771,31,0.754702011300496,0.0014398964556221034,1.5474495887756348
100,20,0.005,0.02,0.9534441483507871,0.0002030622843068235,32,0.7535723624754596,0.0015191970873894064,0.46973951657613117
100,40,0.002,0.02,0.9543315055863943,0.00017991826315878637,33,0.7548730075155342,0.0013092371958497262,0.9591937859853109
150,20,0.005,0.02,0.9577656657152946,0.0011975504172310556,34,0.7569717278869907,0.001970686222535959,0.6627962589263916
50,20,0.002,0.05,0.9579042769394445,0.0011609109382162146,35,0.7603760157610179,0.00021354637192173915,0.2884535789489746
150,40,0.002,0.02,0.9581202512420233,0.0009351439749593494,36,0.7579621197515021,0.0017529104177552049,1.4601829051971436
50,20,0.002,0.02,0.9582029372256543,0.0011231731066602625,37,0.7597357281915554,0.0001740158780391389,0.276699701944987
50,20,0.002,0.1,0.9584080380415823,0.0011861191201095655,38,0.7621367285435969,0.0002959794214482883,0.2950199445088704
100,20,0.002,0.1,0.9599422266586801,0.000849112549370555,39,0.7634056098996203,0.00018888009850435321,0.47508859634399414
100,20,0.002,0.05,0.9602455911643263,0.00082900393387742,40,0.7623336505977455,0.00020921463988112456,0.4701799551645915
150,20,0.002,0.1,0.961193178580437,0.000628924425224878,41,0.764578653528996,0.0001989242598769875,0.7168974081675211
100,20,0.002,0.02,0.9614157937604557,0.0008433377500738753,42,0.7624244821011902,0.00029192096649739604,0.4669606685638428
150,20,0.002,0.05,0.9623331150564859,0.0005693695467352121,43,0.7642031999822246,0.00048750512504557096,0.7558800379435221
50,40,0.01,0.05,0.9628037940639222,0.0008643974650694858,44,0.756439110851185,0.00017554150752212728,0.5776016712188721
150,20,0.002,0.02,0.9643976804819089,0.0005817978154340757,45,0.7650074471809262,0.0007118482884891605,0.7647993564605713
50,20,0.01,0.02,0.9686452456318085,0.000590896748721128,46,0.7604410432770536,0.0007766334534096913,0.28713663419087726
50,40,0.005,0.02,0.9694514969177828,0.0007046541484207186,47,0.7610171765864765,0.000793874643159379,0.5974305470784506
100,20,0.01,0.02,0.9698915424215911,0.0005542427459256515,48,0.764271114053943,0.001190655274937762,0.4661695957183838
100,40,0.005,0.02,0.9702442641735186,0.0005819557643200341,49,0.7646484420940977,0.0011924364933749761,1.0611062049865723
150,20,0.01,0.02,0.971009643247481,0.0012005132700791499,50,0.7654143273322876,0.0016551510532712584,0.7400943438212076
150,40,0.005,0.02,0.9712915259522917,0.00124851102064295,51,0.7657135235897313,0.0017025786095070216,1.712570349375407
150,40,0.01,0.02,0.9783576664341922,0.0003761411604171282,52,0.7718085647259919,0.0010777478790572625,1.7181129455566406
100,40,0.01,0.02,0.9915513025791461,0.0012328715199620638,53,0.7811653610285648,0.0009551702964094418,1.0397797425587971
50,40,0.01,0.02,1.017836150904369,0.0016412566310842777,54,0.7966839640108866,0.0009073434811989388,0.5976214408874512
